dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
12.425,523.6,3.07,2.9,88.0,100,osm,48.93006,12.98153
12.45,524.4,3.26,1.8,88.0,100,osm,48.93028,12.98146
12.475,525.3,3.4,1.45,88.0,100,osm,48.9305,12.98138
12.5,526.2,3.49,1.12,88.0,100,stvo,48.93072,12.98129
12.525,527.2,3.51,0.12,88.0,100,osm,48.93094,12.98121
12.55,528.2,3.48,0.12,88.0,100,osm,48.93116,12.98113
12.575,529.2,3.4,0.41,88.0,100,stvo,48.93138,12.98105
12.6,530.2,3.29,5.15,88.0,100,stvo,48.93159,12.98097
12.625,531.2,3.15,8.27,88.0,100,osm,48.93181,12.98088
12.65,532.0,3.0,10.63,88.0,100,osm,48.93203,12.9808
12.675,532.7,2.82,11.85,88.0,100,osm,48.93224,12.98068
12.7,533.3,2.62,12.19,88.0,100,osm,48.93245,12.98054
12.725,533.8,2.4,8.36,88.0,100,osm,48.93265,12.98039
12.75,534.3,2.16,9.28,88.0,100,osm,48.93284,12.98022
12.775,534.7,1.91,6.97,88.0,100,osm,48.93304,12.98006
12.8,535.2,1.7,8.5,88.0,100,osm,48.93323,12.97988
12.825,535.6,1.52,11.26,88.0,100,osm,48.93344,12.97973
12.85,536.1,1.39,12.72,88.0,100,osm,48.93364,12.97959
12.875,536.4,1.28,8.76,88.0,100,osm,48.93385,12.97946
12.9,536.7,1.19,8.72,88.0,100,osm,48.93406,12.97936
12.925,536.9,1.12,6.1,88.0,100,osm,48.93428,12.97927
12.95,537.1,1.08,2.84,88.0,100,osm,48.9345,12.97918
12.975,537.2,1.06,0.41,88.0,100,osm,48.93471,12.9791
13.0,537.4,1.09,0.26,88.0,100,osm,48.93493,12.97901
13.025,537.6,1.18,0.26,88.0,100,stvo,48.93515,12.97893
13.05,537.8,1.35,0.24,88.0,100,stvo,48.93537,12.97884
13.075,538.1,1.59,0.83,88.0,100,stvo,48.93558,12.97876
13.1,538.4,1.9,0.83,88.0,100,osm,48.9358,12.97867
13.125,538.8,2.25,1.64,88.0,100,osm,48.93602,12.97858
13.15,539.3,2.62,2.97,88.0,100,osm,48.93624,12.97849
13.175,540.0,2.98,4.75,88.0,100,osm,48.93645,12.9784
13.2,540.8,3.35,5.09,88.0,100,osm,48.93667,12.97831
13.225,541.7,3.68,7.28,88.0,100,osm,48.93689,12.97824
13.25,542.8,3.99,9.17,88.0,100,osm,48.93711,12.97818
13.275,544.0,4.3,9.43,88.0,100,osm,48.93733,12.97812
13.3,545.3,4.6,10.94,88.0,100,osm,48.93756,12.97808
13.325,546.6,4.88,13.46,88.0,100,osm,48.93778,12.97806
13.35,547.9,5.13,11.94,88.0,100,osm,48.93801,12.97806
13.375,549.1,5.33,9.73,88.0,100,osm,48.93823,12.97808
13.4,550.4,5.48,10.71,88.0,100,osm,48.93845,12.97812
13.425,551.7,5.58,8.8,88.0,100,osm,48.93868,12.97817
13.45,553.1,5.66,8.54,88.0,100,osm,48.9389,12.97823
13.475,554.6,5.74,8.96,88.0,100,osm,48.93912,12.9783
13.5,556.1,5.79,10.66,88.0,100,osm,48.93934,12.97836
13.525,557.7,5.81,10.76,88.0,100,osm,48.93956,12.9784
13.55,559.2,5.82,11.5,88.0,100,osm,48.93978,12.97843
13.575,560.7,5.77,10.88,88.0,100,osm,48.94001,12.97844
13.6,562.3,5.66,11.56,88.0,100,osm,48.94023,12.97844
13.625,563.8,5.49,9.81,88.0,100,osm,48.94046,12.97841
13.65,565.2,5.27,7.45,88.0,100,osm,48.94068,12.97837
13.675,566.6,5.02,6.03,88.0,100,osm,48.9409,12.97831
13.7,567.8,4.83,7.75,88.0,100,osm,48.94112,12.97825
13.725,569.0,4.7,7.86,88.0,100,osm,48.94135,12.97819
13.75,570.1,4.62,7.9,88.0,100,osm,48.94157,12.97814
13.775,571.1,4.58,8.18,88.0,100,osm,48.94179,12.97811
13.8,572.0,4.57,7.59,88.0,100,osm,48.94202,12.9781
13.825,572.8,4.57,3.17,88.0,100,osm,48.94224,12.9781
13.85,573.7,4.59,1.3,88.0,100,osm,48.94247,12.9781
13.875,574.8,4.59,0.82,88.0,100,stvo,48.94269,12.9781
13.9,576.1,4.61,0.22,88.0,100,stvo,48.94292,12.9781
13.925,577.5,4.65,1.52,88.0,100,stvo,48.94314,12.9781
13.95,578.9,4.7,3.25,88.0,100,stvo,48.94337,12.9781
13.975,580.3,4.74,3.72,88.0,100,osm,48.94359,12.9781
14.0,581.6,4.7,6.42,88.0,100,osm,48.94381,12.97811
14.025,582.8,4.56,6.55,88.0,100,osm,48.94404,12.97813
14.05,583.9,4.33,6.38,88.0,100,osm,48.94426,12.97816
