dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,lat,lon
5.6,357.8,2.12,8.77,88.0,100,48.87421,12.96132
5.625,358.3,2.13,6.19,88.0,100,48.87443,12.96141
5.65,358.8,2.13,5.43,88.0,100,48.87465,12.96148
5.675,359.3,2.12,6.5,88.0,100,48.87487,12.96155
5.7,359.9,2.13,9.66,88.0,100,48.87509,12.96162
5.725,360.4,2.12,16.64,88.0,100,48.87531,12.96167
5.75,360.9,2.13,16.55,88.0,100,48.87553,12.96171
5.775,361.5,2.13,13.96,88.0,100,48.87576,12.96171
5.8,362.0,2.12,13.13,88.0,100,48.87598,12.96166
5.825,362.5,2.13,9.96,88.0,100,48.8762,12.96161
5.85,363.1,2.12,4.99,88.0,100,48.87642,12.96156
5.875,363.6,2.13,5.01,88.0,100,48.87665,12.96151
5.9,364.1,2.13,9.92,88.0,100,48.87687,12.96148
